ecmf prod rf 1997052500 20150525 11 046
0024 em 00 -0.188  2.776  2.783 7
0024 cf 00 -0.256  2.794  2.805 7
0024 pf 01 -0.240  2.696  2.707 7
0024 pf 02 -0.091  2.678  2.679 7
0024 pf 03 -0.208  2.815  2.822 7
0024 pf 04 -0.093  2.684  2.685 7
0024 pf 05 -0.215  2.773  2.781 7
0024 pf 06 -0.145  2.796  2.800 7
0024 pf 07 -0.225  2.746  2.756 7
0024 pf 08 -0.242  2.709  2.719 7
0024 pf 09 -0.108  2.805  2.807 7
0024 pf 10 -0.154  2.820  2.824 7
0048 em 00 -0.243  2.965  2.975 7
0048 cf 00 -0.262  2.949  2.961 7
0048 pf 01 -0.227  2.837  2.846 7
0048 pf 02 -0.205  2.881  2.889 7
0048 pf 03 -0.144  3.017  3.020 7
0048 pf 04 -0.271  2.924  2.937 7
0048 pf 05 -0.371  2.964  2.987 7
0048 pf 06 -0.280  3.020  3.033 7
0048 pf 07 -0.056  2.860  2.860 7
0048 pf 08 -0.261  2.982  2.993 7
0048 pf 09 -0.307  3.045  3.060 7
0048 pf 10 -0.210  2.877  2.885 7
0072 em 00 -0.438  2.994  3.025 7
0072 cf 00 -0.465  2.908  2.945 7
0072 pf 01 -0.279  2.867  2.881 7
0072 pf 02 -0.347  3.015  3.034 7
0072 pf 03 -0.375  2.954  2.978 7
0072 pf 04 -0.385  2.920  2.945 7
0072 pf 05 -0.597  3.046  3.104 7
0072 pf 06 -0.465  2.993  3.029 7
0072 pf 07 -0.394  2.838  2.866 7
0072 pf 08 -0.407  3.123  3.150 7
0072 pf 09 -0.586  3.079  3.134 7
0072 pf 10 -0.426  2.919  2.950 7
0096 em 00 -0.517  2.741  2.789 7
0096 cf 00 -0.590  2.659  2.724 7
0096 pf 01 -0.111  2.676  2.678 7
0096 pf 02 -0.653  2.823  2.897 7
0096 pf 03 -0.596  2.681  2.746 7
0096 pf 04 -0.361  2.740  2.764 7
0096 pf 05 -0.526  2.698  2.748 7
0096 pf 06 -0.620  2.874  2.941 7
0096 pf 07 -0.569  2.495  2.559 7
0096 pf 08 -0.667  2.856  2.932 7
0096 pf 09 -0.392  2.647  2.676 7
0096 pf 10 -0.478  2.736  2.777 7
0120 em 00 -0.484  2.453  2.501 7
0120 cf 00 -0.431  2.422  2.460 7
0120 pf 01 -0.113  2.442  2.445 7
0120 pf 02 -0.693  2.648  2.737 7
0120 pf 03 -0.425  2.116  2.158 7
0120 pf 04 -0.302  2.616  2.634 7
0120 pf 05 -0.638  2.526  2.605 7
0120 pf 06 -0.613  2.237  2.320 7
0120 pf 07 -0.467  2.299  2.345 7
0120 pf 08 -0.694  2.691  2.779 7
0120 pf 09 -0.351  2.300  2.327 7
0120 pf 10 -0.518  2.416  2.471 7
0144 em 00 -0.551  2.355  2.418 7
0144 cf 00 -0.525  2.282  2.342 7
0144 pf 01 -0.086  2.319  2.321 7
0144 pf 02 -0.714  2.609  2.705 7
0144 pf 03 -0.252  2.081  2.096 7
0144 pf 04 -0.726  2.777  2.871 7
0144 pf 05 -0.710  2.562  2.658 7
0144 pf 06 -0.732  1.888  2.025 7
0144 pf 07 -0.558  2.194  2.264 7
0144 pf 08 -0.822  2.485  2.617 7
0144 pf 09 -0.340  2.124  2.151 7
0144 pf 10 -0.520  2.307  2.364 7
0168 em 00 -0.656  2.272  2.365 7
0168 cf 00 -0.615  2.134  2.220 7
0168 pf 01 -0.081  2.260  2.262 7
0168 pf 02 -0.943  2.690  2.851 7
0168 pf 03 -0.361  2.056  2.087 7
0168 pf 04 -0.847  2.564  2.700 7
0168 pf 05 -1.103  2.601  2.825 7
0168 pf 06 -0.617  1.533  1.653 7
0168 pf 07 -0.696  2.033  2.149 7
0168 pf 08 -0.738  2.490  2.597 7
0168 pf 09 -0.239  2.235  2.247 7
0168 pf 10 -0.885  2.101  2.280 7
0192 em 00 -0.698  1.995  2.113 7
0192 cf 00 -0.579  1.815  1.905 7
0192 pf 01 -0.231  2.211  2.224 7
0192 pf 02 -1.136  2.484  2.731 7
0192 pf 03 -0.169  1.876  1.884 7
0192 pf 04 -0.905  2.062  2.252 7
0192 pf 05 -0.952  2.208  2.404 7
0192 pf 06 -0.620  1.290  1.431 7
0192 pf 07 -0.966  1.593  1.863 7
0192 pf 08 -0.791  2.151  2.292 7
0192 pf 09 -0.137  2.131  2.135 7
0192 pf 10 -1.093  1.797  2.103 7
0216 em 00 -0.773  1.715  1.881 7
0216 cf 00 -0.625  1.641  1.756 7
0216 pf 01 -0.422  2.165  2.206 7
0216 pf 02 -1.037  2.135  2.374 7
0216 pf 03 -0.260  1.709  1.729 7
0216 pf 04 -0.998  1.708  1.978 7
0216 pf 05 -0.982  1.802  2.052 7
0216 pf 06 -0.536  1.219  1.332 7
0216 pf 07 -1.103  1.207  1.635 7
0216 pf 08 -1.002  1.733  2.002 7
0216 pf 09 -0.467  1.844  1.903 7
0216 pf 10 -0.980  1.351  1.669 7
0240 em 00 -0.898  1.453  1.708 7
0240 cf 00 -0.626  1.660  1.774 7
0240 pf 01 -0.532  1.849  1.924 7
0240 pf 02 -1.318  1.744  2.186 7
0240 pf 03 -0.305  1.233  1.270 7
0240 pf 04 -1.167  1.512  1.909 7
0240 pf 05 -1.188  1.334  1.786 7
0240 pf 06 -0.839  1.100  1.384 7
0240 pf 07 -1.088  0.943  1.440 8
0240 pf 08 -0.854  1.427  1.664 7
0240 pf 09 -0.593  1.696  1.796 7
0240 pf 10 -1.252  1.161  1.708 8
0264 em 00 -0.972  1.294  1.618 7
0264 cf 00 -0.673  1.665  1.796 7
0264 pf 01 -0.764  1.282  1.493 7
0264 pf 02 -1.380  1.406  1.970 7
0264 pf 03 -0.215  1.347  1.364 7
0264 pf 04 -1.191  1.180  1.676 8
0264 pf 05 -1.145  1.076  1.571 8
0264 pf 06 -1.122  0.978  1.488 8
0264 pf 07 -1.210  0.761  1.430 8
0264 pf 08 -1.060  1.302  1.679 7
0264 pf 09 -0.538  1.689  1.773 7
0264 pf 10 -1.248  1.247  1.764 7
0288 em 00 -1.074  1.097  1.535 7
0288 cf 00 -0.955  1.428  1.718 7
0288 pf 01 -1.103  0.942  1.450 8
0288 pf 02 -1.226  1.522  1.955 7
0288 pf 03 -0.383  1.247  1.305 7
0288 pf 04 -1.233  0.981  1.576 8
0288 pf 05 -1.415  0.659  1.561 8
0288 pf 06 -1.307  0.741  1.502 8
0288 pf 07 -1.400  0.537  1.500 8
0288 pf 08 -0.962  0.981  1.374 7
0288 pf 09 -0.515  1.549  1.632 7
0288 pf 10 -1.159  1.152  1.634 8
0312 em 00 -1.249  0.817  1.492 8
0312 cf 00 -1.188  1.354  1.802 7
0312 pf 01 -1.409  0.493  1.493 8
0312 pf 02 -1.162  1.366  1.793 7
0312 pf 03 -0.336  1.224  1.269 7
0312 pf 04 -1.356  0.675  1.515 8
0312 pf 05 -1.285  0.350  1.332 8
0312 pf 06 -1.428  0.281  1.455 8
0312 pf 07 -1.627  0.142  1.633 8
0312 pf 08 -0.989  0.739  1.235 8
0312 pf 09 -1.132  1.314  1.735 7
0312 pf 10 -1.654  0.725  1.806 8
0336 em 00 -1.355  0.617  1.488 8
0336 cf 00 -1.457  1.188  1.880 8
0336 pf 01 -1.480  0.186  1.491 8
0336 pf 02 -1.014  1.327  1.670 7
0336 pf 03 -0.565  0.980  1.131 7
0336 pf 04 -1.537  0.538  1.628 8
0336 pf 05 -1.072  0.125  1.080 8
0336 pf 06 -1.551  0.084  1.553 8
0336 pf 07 -1.845 -0.043  1.845 1
0336 pf 08 -0.981  0.810  1.272 8
0336 pf 09 -1.296  1.093  1.696 8
0336 pf 10 -1.916  0.196  1.926 8
0360 em 00 -1.402  0.385  1.453 8
0360 cf 00 -1.868  0.925  2.085 8
0360 pf 01 -1.481 -0.069  1.483 1
0360 pf 02 -0.768  0.794  1.105 7
0360 pf 03 -0.937  0.389  1.014 8
0360 pf 04 -1.536  0.348  1.575 8
0360 pf 05 -0.895  0.153  0.908 8
0360 pf 06 -1.445 -0.410  1.502 1
0360 pf 07 -2.057 -0.048  2.058 1
0360 pf 08 -1.066  0.833  1.353 8
0360 pf 09 -1.106  1.163  1.605 7
0360 pf 10 -2.012 -0.109  2.015 1
0384 em 00 -1.528  0.086  1.531 8
0384 cf 00 -2.345  0.780  2.471 8
0384 pf 01 -1.429 -0.265  1.454 1
0384 pf 02 -1.194  0.527  1.305 8
0384 pf 03 -1.404 -0.009  1.404 1
0384 pf 04 -1.743  0.042  1.744 8
0384 pf 05 -1.105 -0.017  1.106 1
0384 pf 06 -1.103 -0.728  1.321 1
0384 pf 07 -2.089 -0.498  2.148 1
0384 pf 08 -1.072  0.499  1.182 8
0384 pf 09 -1.351  1.148  1.772 8
0384 pf 10 -1.697 -0.767  1.862 1
0408 em 00 -1.568 -0.185  1.579 1
0408 cf 00 -2.477  0.576  2.543 8
0408 pf 01 -1.386 -0.273  1.413 1
0408 pf 02 -1.346  0.333  1.386 8
0408 pf 03 -1.303 -0.634  1.449 1
0408 pf 04 -1.920 -0.304  1.944 1
0408 pf 05 -1.382  0.137  1.388 8
0408 pf 06 -1.103 -0.811  1.369 1
0408 pf 07 -1.907 -0.887  2.103 1
0408 pf 08 -0.952  0.279  0.992 8
0408 pf 09 -1.524  0.545  1.619 8
0408 pf 10 -1.658 -1.226  2.062 1
0432 em 00 -1.632 -0.420  1.685 1
0432 cf 00 -2.418  0.175  2.424 8
0432 pf 01 -1.426 -0.271  1.452 1
0432 pf 02 -1.606  0.170  1.615 8
0432 pf 03 -1.205 -1.138  1.657 1
0432 pf 04 -2.228 -0.455  2.274 1
0432 pf 05 -1.621  0.208  1.634 8
0432 pf 06 -0.870 -0.879  1.236 2
0432 pf 07 -1.697 -1.133  2.040 1
0432 pf 08 -1.175 -0.099  1.179 1
0432 pf 09 -1.743  0.360  1.780 8
0432 pf 10 -1.643 -1.771  2.416 2
0456 em 00 -1.414 -0.698  1.577 1
0456 cf 00 -2.430 -0.285  2.447 1
0456 pf 01 -1.062 -0.228  1.086 1
0456 pf 02 -1.620 -0.350  1.657 1
0456 pf 03 -0.865 -1.555  1.779 2
0456 pf 04 -1.974 -0.861  2.154 1
0456 pf 05 -1.353 -0.179  1.364 1
0456 pf 06 -0.472 -1.073  1.172 2
0456 pf 07 -1.043 -1.483  1.813 2
0456 pf 08 -1.050 -0.131  1.058 1
0456 pf 09 -1.890  0.090  1.892 8
0456 pf 10 -1.478 -1.818  2.343 2
0480 em 00 -1.145 -0.862  1.433 1
0480 cf 00 -2.033 -0.611  2.123 1
0480 pf 01 -1.044 -0.375  1.109 1
0480 pf 02 -1.428 -0.570  1.538 1
0480 pf 03 -0.770 -1.759  1.920 2
0480 pf 04 -1.725 -0.861  1.928 1
0480 pf 05 -1.118 -0.505  1.226 1
0480 pf 06  0.154 -1.008  1.020 3
0480 pf 07 -0.279 -1.711  1.734 2
0480 pf 08 -0.971 -0.255  1.004 1
0480 pf 09 -1.795 -0.029  1.795 1
0480 pf 10 -1.268 -1.993  2.362 2
0504 em 00 -1.038 -1.086  1.502 2
0504 cf 00 -1.561 -0.930  1.817 1
0504 pf 01 -1.213 -0.856  1.484 1
0504 pf 02 -1.377 -0.703  1.546 1
0504 pf 03 -0.516 -1.834  1.905 2
0504 pf 04 -1.617 -1.172  1.997 1
0504 pf 05 -1.411 -0.843  1.644 1
0504 pf 06  0.628 -1.227  1.379 3
0504 pf 07 -0.153 -1.784  1.791 2
0504 pf 08 -1.051 -0.540  1.182 1
0504 pf 09 -1.678 -0.165  1.686 1
0504 pf 10 -1.139 -2.043  2.339 2
0528 em 00 -0.856 -1.225  1.495 2
0528 cf 00 -1.120 -1.046  1.532 1
0528 pf 01 -1.340 -1.434  1.963 2
0528 pf 02 -1.005 -0.679  1.213 1
0528 pf 03 -0.400 -1.946  1.987 2
0528 pf 04 -1.622 -1.592  2.273 1
0528 pf 05 -1.234 -0.991  1.583 1
0528 pf 06  0.960 -1.134  1.486 3
0528 pf 07 -0.071 -1.561  1.563 2
0528 pf 08 -0.932 -1.015  1.378 2
0528 pf 09 -1.488 -0.222  1.504 1
0528 pf 10 -0.836 -1.994  2.162 2
0552 em 00 -0.669 -1.412  1.562 2
0552 cf 00 -0.600 -1.264  1.400 2
0552 pf 01 -1.255 -1.549  1.994 2
0552 pf 02 -0.552 -0.790  0.964 2
0552 pf 03 -0.322 -2.034  2.059 2
0552 pf 04 -1.573 -1.859  2.436 2
0552 pf 05 -1.120 -1.389  1.785 2
0552 pf 06  1.087 -1.043  1.506 4
0552 pf 07  0.351 -1.692  1.728 3
0552 pf 08 -0.895 -1.413  1.672 2
0552 pf 09 -1.664 -0.661  1.791 1
0552 pf 10 -0.499 -1.949  2.012 2
0576 em 00 -0.409 -1.448  1.505 2
0576 cf 00 -0.238 -1.142  1.166 2
0576 pf 01 -1.024 -1.788  2.061 2
0576 pf 02 -0.244 -0.967  0.997 2
0576 pf 03 -0.114 -1.760  1.764 2
0576 pf 04 -1.370 -1.881  2.326 2
0576 pf 05 -0.932 -1.870  2.090 2
0576 pf 06  1.086 -0.751  1.320 4
0576 pf 07  0.902 -1.245  1.538 3
0576 pf 08 -0.772 -1.670  1.840 2
