ecmf prod rf 1996071300 20150713 11 046
0024 em 00  1.427  0.096  1.430 5
0024 cf 00  1.362  0.111  1.367 5
0024 pf 01  1.480  0.065  1.481 5
0024 pf 02  1.539  0.013  1.539 5
0024 pf 03  1.261  0.121  1.267 5
0024 pf 04  1.527  0.149  1.534 5
0024 pf 05  1.425  0.193  1.438 5
0024 pf 06  1.380  0.057  1.381 5
0024 pf 07  1.333  0.089  1.336 5
0024 pf 08  1.359  0.147  1.367 5
0024 pf 09  1.326  0.005  1.326 5
0024 pf 10  1.421  0.163  1.431 5
0048 em 00  1.572  0.649  1.701 5
0048 cf 00  1.551  0.572  1.653 5
0048 pf 01  1.679  0.681  1.812 5
0048 pf 02  1.519  0.491  1.597 5
0048 pf 03  1.489  0.644  1.622 5
0048 pf 04  1.710  0.685  1.842 5
0048 pf 05  1.354  0.748  1.547 5
0048 pf 06  1.431  0.664  1.577 5
0048 pf 07  1.722  0.679  1.851 5
0048 pf 08  1.558  0.725  1.718 5
0048 pf 09  1.495  0.538  1.589 5
0048 pf 10  1.489  0.706  1.647 5
0072 em 00  1.567  0.828  1.772 5
0072 cf 00  1.596  0.702  1.743 5
0072 pf 01  1.718  0.884  1.932 5
0072 pf 02  1.558  0.651  1.689 5
0072 pf 03  1.352  0.721  1.532 5
0072 pf 04  1.711  0.869  1.920 5
0072 pf 05  1.306  0.913  1.593 5
0072 pf 06  1.560  0.816  1.760 5
0072 pf 07  1.738  0.768  1.900 5
0072 pf 08  1.358  0.980  1.675 5
0072 pf 09  1.701  0.891  1.920 5
0072 pf 10  1.344  0.839  1.584 5
0096 em 00  1.467  0.840  1.691 5
0096 cf 00  1.553  0.744  1.722 5
0096 pf 01  1.576  0.948  1.839 5
0096 pf 02  1.331  0.726  1.516 5
0096 pf 03  1.450  0.678  1.601 5
0096 pf 04  1.491  0.915  1.749 5
0096 pf 05  1.167  0.630  1.326 5
0096 pf 06  1.446  0.924  1.715 5
0096 pf 07  1.625  0.880  1.848 5
0096 pf 08  1.309  0.822  1.546 5
0096 pf 09  1.590  0.974  1.865 5
0096 pf 10  1.333  0.889  1.602 5
0120 em 00  1.426  1.049  1.770 5
0120 cf 00  1.558  0.976  1.839 5
0120 pf 01  1.446  1.147  1.845 5
0120 pf 02  1.140  1.027  1.534 5
0120 pf 03  1.396  0.959  1.694 5
0120 pf 04  1.548  1.073  1.884 5
0120 pf 05  1.336  0.737  1.526 5
0120 pf 06  1.391  1.143  1.800 5
0120 pf 07  1.576  1.073  1.906 5
0120 pf 08  1.148  0.933  1.479 5
0120 pf 09  1.651  1.181  2.030 5
0120 pf 10  1.234  1.149  1.686 5
0144 em 00  1.417  1.189  1.850 5
0144 cf 00  1.672  1.074  1.987 5
0144 pf 01  1.283  1.136  1.713 5
0144 pf 02  1.333  1.129  1.747 5
0144 pf 03  1.295  1.153  1.734 5
0144 pf 04  1.656  1.398  2.167 5
0144 pf 05  1.357  0.909  1.633 5
0144 pf 06  1.372  1.378  1.945 6
0144 pf 07  1.255  1.141  1.696 5
0144 pf 08  1.311  1.040  1.674 5
0144 pf 09  1.590  1.495  2.182 5
0144 pf 10  1.209  1.050  1.601 5
0168 em 00  1.323  1.215  1.796 5
0168 cf 00  1.551  1.093  1.898 5
0168 pf 01  1.250  1.322  1.820 6
0168 pf 02  1.455  1.082  1.814 5
0168 pf 03  1.250  0.947  1.568 5
0168 pf 04  1.553  1.519  2.172 5
0168 pf 05  1.182  0.862  1.463 5
0168 pf 06  0.920  1.444  1.712 6
0168 pf 07  0.984  0.989  1.396 6
0168 pf 08  1.483  1.168  1.888 5
0168 pf 09  1.583  1.389  2.106 5
0168 pf 10  1.114  1.326  1.732 6
0192 em 00  1.071  1.125  1.554 6
0192 cf 00  1.160  1.012  1.540 5
0192 pf 01  1.249  1.069  1.643 5
0192 pf 02  1.422  0.925  1.696 5
0192 pf 03  1.139  0.955  1.486 5
0192 pf 04  1.170  1.268  1.725 6
0192 pf 05  0.944  0.819  1.250 5
0192 pf 06  0.307  1.402  1.435 6
0192 pf 07  0.618  1.189  1.340 6
0192 pf 08  1.307  1.041  1.671 5
0192 pf 09  1.163  1.077  1.585 5
0192 pf 10  1.105  1.388  1.774 6
0216 em 00  0.840  1.109  1.391 6
0216 cf 00  0.803  1.049  1.322 6
0216 pf 01  0.888  1.145  1.449 6
0216 pf 02  0.987  0.892  1.330 5
0216 pf 03  0.819  0.975  1.273 6
0216 pf 04  0.962  1.052  1.425 6
0216 pf 05  0.897  0.774  1.185 5
0216 pf 06  0.119  1.156  1.162 6
0216 pf 07  0.392  1.217  1.278 6
0216 pf 08  1.401  1.106  1.785 5
0216 pf 09  0.830  1.255  1.505 6
0216 pf 10  0.970  1.362  1.672 6
0240 em 00  0.786  1.024  1.291 6
0240 cf 00  0.628  1.123  1.287 6
0240 pf 01  0.711  1.025  1.248 6
0240 pf 02  0.891  0.949  1.302 6
0240 pf 03  0.731  1.020  1.255 6
0240 pf 04  0.943  0.776  1.221 5
0240 pf 05  0.915  0.785  1.206 5
0240 pf 06  0.429  0.869  0.969 6
0240 pf 07  0.539  0.928  1.073 6
0240 pf 08  1.230  1.040  1.610 5
0240 pf 09  0.795  1.143  1.393 6
0240 pf 10  0.662  1.397  1.546 6
0264 em 00  0.700  0.818  1.077 6
0264 cf 00  0.542  0.946  1.091 6
0264 pf 01  0.417  0.695  0.810 6
0264 pf 02  1.032  0.901  1.370 5
0264 pf 03  0.677  0.735  0.999 6
0264 pf 04  0.700  0.709  0.996 6
0264 pf 05  0.959  0.839  1.274 5
0264 pf 06  0.373  0.642  0.743 6
0264 pf 07  0.448  0.629  0.772 6
0264 pf 08  1.237  0.845  1.498 5
0264 pf 09  0.837  0.900  1.229 6
0264 pf 10  0.321  0.953  1.005 6
0288 em 00  0.607  0.535  0.809 5
0288 cf 00  0.544  0.487  0.730 5
0288 pf 01  0.093  0.361  0.373 6
0288 pf 02  1.010  0.545  1.148 5
0288 pf 03  0.525  0.468  0.703 5
0288 pf 04  0.470  0.302  0.559 5
0288 pf 05  0.909  0.853  1.247 5
0288 pf 06  0.475  0.458  0.660 5
0288 pf 07  0.330  0.219  0.396 5
0288 pf 08  0.961  0.736  1.210 5
0288 pf 09  0.906  0.765  1.186 5
0288 pf 10  0.316  0.526  0.614 6
0312 em 00  0.358  0.279  0.454 5
0312 cf 00  0.298  0.006  0.298 5
0312 pf 01 -0.182 -0.016  0.182 1
0312 pf 02  0.579  0.291  0.648 5
0312 pf 03  0.291  0.365  0.467 6
0312 pf 04 -0.166 -0.139  0.216 1
0312 pf 05  0.622  0.742  0.969 6
0312 pf 06  0.371  0.265  0.457 5
0312 pf 07  0.061 -0.381  0.386 3
0312 pf 08  0.587  0.617  0.852 6
0312 pf 09  1.100  0.960  1.460 5
0312 pf 10  0.314  0.206  0.376 5
0336 em 00  0.284  0.297  0.411 6
0336 cf 00  0.143  0.062  0.156 5
0336 pf 01 -0.221 -0.116  0.249 1
0336 pf 02  0.372  0.645  0.745 6
0336 pf 03  0.556  0.668  0.869 6
0336 pf 04 -0.630 -0.302  0.699 1
0336 pf 05  0.445  0.628  0.770 6
0336 pf 06  0.546  0.388  0.670 5
0336 pf 07  0.009 -0.728  0.728 3
0336 pf 08  0.410  0.722  0.830 6
0336 pf 09  1.352  1.058  1.716 5
0336 pf 10  0.143  0.054  0.153 5
0360 em 00  0.211  0.366  0.422 6
0360 cf 00  0.196  0.161  0.254 5
0360 pf 01 -0.266  0.216  0.342 8
0360 pf 02  0.225  0.792  0.824 6
