ecmf prod rf 2000021800 20160218 11 046
0024 em 00  0.659 -1.709  1.831 3
0024 cf 00  0.618 -1.676  1.786 3
0024 pf 01  0.729 -1.833  1.972 3
0024 pf 02  0.665 -1.693  1.819 3
0024 pf 03  0.675 -1.773  1.897 3
0024 pf 04  0.633 -1.774  1.884 3
0024 pf 05  0.709 -1.708  1.849 3
0024 pf 06  0.544 -1.790  1.871 3
0024 pf 07  0.549 -1.613  1.704 3
0024 pf 08  0.656 -1.625  1.752 3
0024 pf 09  0.719 -1.666  1.815 3
0024 pf 10  0.765 -1.583  1.758 3
0048 em 00  1.004 -1.369  1.698 3
0048 cf 00  1.002 -1.411  1.731 3
0048 pf 01  1.038 -1.485  1.812 3
0048 pf 02  0.986 -1.256  1.597 3
0048 pf 03  0.895 -1.393  1.656 3
0048 pf 04  1.053 -1.470  1.808 3
0048 pf 05  0.898 -1.460  1.714 3
0048 pf 06  1.038 -1.466  1.796 3
0048 pf 07  0.964 -1.238  1.569 3
0048 pf 08  0.961 -1.367  1.671 3
0048 pf 09  1.027 -1.197  1.577 3
0048 pf 10  1.180 -1.280  1.741 3
0072 em 00  1.208 -1.251  1.739 3
0072 cf 00  1.242 -1.344  1.830 3
0072 pf 01  1.190 -1.177  1.674 4
0072 pf 02  1.330 -1.088  1.718 4
0072 pf 03  1.160 -1.463  1.867 3
0072 pf 04  1.253 -1.217  1.747 4
0072 pf 05  1.102 -1.274  1.685 3
0072 pf 06  1.302 -1.539  2.016 3
0072 pf 07  1.168 -1.222  1.690 3
0072 pf 08  0.998 -1.165  1.534 3
0072 pf 09  1.158 -1.093  1.592 4
0072 pf 10  1.364 -1.138  1.777 4
0096 em 00  1.495 -1.166  1.896 4
0096 cf 00  1.568 -1.324  2.052 4
0096 pf 01  1.394 -1.238  1.864 4
0096 pf 02  1.604 -1.003  1.892 4
0096 pf 03  1.536 -1.363  2.053 4
0096 pf 04  1.432 -1.147  1.835 4
0096 pf 05  1.245 -0.990  1.590 4
0096 pf 06  1.504 -1.366  2.032 4
0096 pf 07  1.480 -1.099  1.843 4
0096 pf 08  1.602 -0.939  1.856 4
0096 pf 09  1.439 -1.190  1.867 4
0096 pf 10  1.568 -1.132  1.934 4
0120 em 00  1.520 -1.077  1.863 4
0120 cf 00  1.627 -1.161  1.999 4
0120 pf 01  1.551 -1.098  1.901 4
0120 pf 02  1.508 -1.179  1.915 4
0120 pf 03  1.560 -1.262  2.007 4
0120 pf 04  1.655 -1.183  2.035 4
0120 pf 05  1.102 -0.827  1.378 4
0120 pf 06  1.344 -1.262  1.843 4
0120 pf 07  1.380 -1.081  1.753 4
0120 pf 08  1.740 -0.704  1.877 4
0120 pf 09  1.535 -1.090  1.883 4
0120 pf 10  1.650 -0.971  1.914 4
0144 em 00  1.306 -1.056  1.679 4
0144 cf 00  1.307 -1.123  1.724 4
0144 pf 01  1.494 -1.097  1.854 4
0144 pf 02  1.264 -1.144  1.705 4
0144 pf 03  1.399 -1.412  1.988 3
0144 pf 04  1.467 -0.838  1.689 4
0144 pf 05  1.033 -0.887  1.361 4
0144 pf 06  0.949 -1.152  1.493 3
0144 pf 07  1.100 -1.142  1.586 3
0144 pf 08  1.635 -0.710  1.782 4
0144 pf 09  1.367 -1.027  1.709 4
0144 pf 10  1.286 -1.044  1.657 4
0168 em 00  1.161 -1.093  1.594 4
0168 cf 00  1.190 -1.211  1.698 3
0168 pf 01  1.404 -0.930  1.684 4
0168 pf 02  1.283 -1.378  1.883 3
0168 pf 03  1.340 -1.308  1.873 4
0168 pf 04  1.160 -0.876  1.454 4
0168 pf 05  0.797 -1.035  1.306 3
0168 pf 06  0.770 -1.055  1.307 3
0168 pf 07  0.920 -1.305  1.597 3
0168 pf 08  1.413 -0.791  1.619 4
0168 pf 09  1.219 -1.046  1.606 4
0168 pf 10  1.246 -1.025  1.614 4
0192 em 00  1.200 -1.167  1.674 4
0192 cf 00  1.164 -1.218  1.685 3
0192 pf 01  1.390 -1.260  1.876 4
0192 pf 02  1.465 -1.141  1.857 4
0192 pf 03  1.367 -1.281  1.874 4
0192 pf 04  1.329 -0.833  1.568 4
0192 pf 05  0.882 -1.020  1.348 3
0192 pf 06  0.931 -1.299  1.598 3
0192 pf 07  1.087 -1.591  1.927 3
0192 pf 08  1.273 -0.872  1.543 4
0192 pf 09  1.224 -1.128  1.664 4
0192 pf 10  1.050 -1.120  1.535 3
0216 em 00  1.103 -1.212  1.639 3
0216 cf 00  1.153 -1.245  1.697 3
0216 pf 01  1.399 -1.226  1.860 4
0216 pf 02  1.130 -1.161  1.620 3
0216 pf 03  1.145 -1.105  1.592 4
0216 pf 04  1.361 -0.931  1.649 4
0216 pf 05  0.800 -1.253  1.486 3
0216 pf 06  0.974 -1.340  1.657 3
0216 pf 07  1.046 -1.659  1.962 3
0216 pf 08  1.253 -0.755  1.463 4
0216 pf 09  1.012 -1.330  1.671 3
0216 pf 10  0.854 -1.258  1.521 3
0240 em 00  0.909 -1.097  1.425 3
0240 cf 00  0.900 -1.132  1.447 3
0240 pf 01  1.269 -1.023  1.630 4
0240 pf 02  0.584 -0.935  1.102 3
0240 pf 03  1.251 -1.130  1.685 4
0240 pf 04  1.083 -0.965  1.451 4
0240 pf 05  0.766 -1.344  1.547 3
0240 pf 06  0.952 -1.210  1.540 3
0240 pf 07  0.940 -1.561  1.823 3
0240 pf 08  1.185 -0.516  1.292 4
0240 pf 09  0.711 -1.144  1.347 3
0240 pf 10  0.389 -1.032  1.103 3
0264 em 00  0.777 -0.966  1.240 3
0264 cf 00  0.849 -1.098  1.389 3
0264 pf 01  1.062 -0.809  1.335 4
0264 pf 02  0.540 -0.807  0.971 3
0264 pf 03  1.277 -1.086  1.677 4
0264 pf 04  0.849 -1.011  1.320 3
0264 pf 05  0.761 -1.000  1.256 3
0264 pf 06  0.714 -1.018  1.244 3
0264 pf 07  0.541 -1.424  1.523 3
0264 pf 08  0.892 -0.454  1.001 4
0264 pf 09  0.605 -1.108  1.262 3
0264 pf 10  0.508 -0.745  0.902 3
0288 em 00  0.674 -0.757  1.013 3
0288 cf 00  0.891 -0.909  1.273 3
0288 pf 01  1.042 -0.250  1.071 4
0288 pf 02  0.219 -0.931  0.956 3
0288 pf 03  1.072 -0.777  1.324 4
0288 pf 04  0.506 -0.893  1.026 3
0288 pf 05  0.613 -0.597  0.856 4
0288 pf 06  0.443 -0.804  0.918 3
0288 pf 07  0.737 -1.558  1.723 3
0288 pf 08  0.732 -0.188  0.756 4
0288 pf 09  0.476 -0.879  0.999 3
0288 pf 10  0.774 -0.477  0.909 4
0312 em 00  0.638 -0.672  0.927 3
0312 cf 00  0.842 -0.850  1.197 3
0312 pf 01  0.897  0.151  0.909 5
0312 pf 02  0.414 -1.135  1.208 3
0312 pf 03  1.038 -0.582  1.190 4
0312 pf 04  0.496 -0.827  0.965 3
0312 pf 05  0.643 -0.740  0.981 3
0312 pf 06  0.115 -0.756  0.765 3
0312 pf 07  0.866 -1.496  1.729 3
0312 pf 08  0.763  0.101  0.770 5
0312 pf 09  0.433 -0.720  0.840 3
0312 pf 10  0.617 -0.456  0.768 4
0336 em 00  0.618 -0.493  0.791 4
0336 cf 00  0.889 -0.520  1.031 4
0336 pf 01  0.960  0.397  1.038 5
0336 pf 02  0.663 -1.071  1.260 3
0336 pf 03  0.888 -0.063  0.890 4
0336 pf 04  0.722 -0.742  1.035 3
0336 pf 05  0.322 -0.669  0.743 3
0336 pf 06  0.031 -0.876  0.877 3
0336 pf 07  1.089 -1.294  1.691 3
0336 pf 08  0.859  0.139  0.871 5
0336 pf 09  0.324 -0.270  0.421 4
0336 pf 10  0.159 -0.385  0.417 3
0360 em 00  0.702 -0.242  0.743 4
0360 cf 00  0.939  0.111  0.946 5
0360 pf 01  1.085  0.374  1.148 5
0360 pf 02  1.030 -0.627  1.205 4
