ecmf prod rf 2013071800 20190718 11 046
0024 em 00  0.933  0.703  1.169 5
0024 cf 00  0.865  0.738  1.137 5
0024 pf 01  0.820  0.660  1.053 5
0024 pf 02  1.006  0.735  1.246 5
0024 pf 03  0.950  0.632  1.141 5
0024 pf 04  0.928  0.828  1.243 5
0024 pf 05  1.006  0.647  1.196 5
0024 pf 06  0.857  0.698  1.105 5
0024 pf 07  0.978  0.757  1.237 5
0024 pf 08  0.912  0.849  1.247 5
0024 pf 09  0.871  0.713  1.126 5
0024 pf 10  0.835  0.542  0.995 5
0048 em 00  0.796  0.944  1.235 6
0048 cf 00  0.725  0.961  1.203 6
0048 pf 01  0.682  0.756  1.018 6
0048 pf 02  0.928  1.045  1.398 6
0048 pf 03  0.887  0.958  1.306 6
0048 pf 04  0.652  1.127  1.302 6
0048 pf 05  0.873  0.734  1.141 5
0048 pf 06  0.816  0.946  1.249 6
0048 pf 07  0.804  1.060  1.330 6
0048 pf 08  0.678  1.058  1.257 6
0048 pf 09  0.886  0.947  1.297 6
0048 pf 10  0.578  0.812  0.997 6
0072 em 00  0.595  0.957  1.126 6
0072 cf 00  0.503  0.933  1.060 6
0072 pf 01  0.435  0.676  0.804 6
0072 pf 02  0.656  1.004  1.199 6
0072 pf 03  0.618  1.116  1.276 6
0072 pf 04  0.414  0.999  1.081 6
0072 pf 05  0.976  0.714  1.209 5
0072 pf 06  0.671  1.006  1.209 6
0072 pf 07  0.572  1.205  1.334 6
0072 pf 08  0.362  1.320  1.368 6
0072 pf 09  0.740  0.754  1.056 6
0072 pf 10  0.356  0.790  0.866 6
0096 em 00  0.183  0.864  0.883 6
0096 cf 00  0.052  0.782  0.784 6
0096 pf 01 -0.027  0.427  0.428 7
0096 pf 02  0.122  1.021  1.028 6
0096 pf 03  0.252  1.201  1.227 6
0096 pf 04  0.164  0.831  0.847 6
0096 pf 05  0.784  0.748  1.084 5
0096 pf 06  0.183  0.746  0.768 6
0096 pf 07  0.200  1.280  1.295 6
0096 pf 08 -0.144  1.296  1.304 7
0096 pf 09  0.247  0.552  0.604 6
0096 pf 10 -0.012  0.586  0.586 7
0120 em 00 -0.140  0.854  0.865 7
0120 cf 00 -0.328  0.683  0.758 7
0120 pf 01 -0.337  0.388  0.514 7
0120 pf 02 -0.337  0.914  0.974 7
0120 pf 03 -0.061  1.484  1.485 7
0120 pf 04 -0.016  0.870  0.871 7
0120 pf 05  0.609  1.027  1.194 6
0120 pf 06 -0.093  0.739  0.745 7
0120 pf 07 -0.055  1.122  1.123 7
0120 pf 08 -0.601  1.009  1.174 7
0120 pf 09  0.081  0.536  0.542 6
0120 pf 10 -0.538  0.580  0.791 7
0144 em 00 -0.487  0.851  0.981 7
0144 cf 00 -0.710  0.598  0.928 8
0144 pf 01 -0.705  0.559  0.900 8
0144 pf 02 -0.727  0.661  0.983 8
0144 pf 03 -0.215  1.634  1.648 7
0144 pf 04 -0.460  0.780  0.906 7
0144 pf 05  0.118  1.285  1.291 6
0144 pf 06 -0.490  0.661  0.822 7
0144 pf 07 -0.390  1.027  1.098 7
0144 pf 08 -0.878  0.992  1.325 7
0144 pf 09 -0.059  0.584  0.587 7
0144 pf 10 -0.918  0.538  1.064 8
0168 em 00 -0.655  0.690  0.951 7
0168 cf 00 -0.887  0.506  1.021 8
0168 pf 01 -0.961  0.544  1.104 8
0168 pf 02 -1.043  0.448  1.135 8
0168 pf 03 -0.245  1.356  1.378 7
0168 pf 04 -0.714  0.737  1.026 7
0168 pf 05 -0.040  1.319  1.320 7
0168 pf 06 -0.569  0.514  0.767 8
0168 pf 07 -0.493  0.987  1.103 7
0168 pf 08 -1.115  0.756  1.347 8
0168 pf 09 -0.037  0.254  0.256 7
0168 pf 10 -1.133  0.128  1.140 8
0192 em 00 -0.748  0.442  0.868 8
0192 cf 00 -0.950  0.288  0.993 8
0192 pf 01 -1.241  0.050  1.242 8
0192 pf 02 -1.512 -0.100  1.515 1
0192 pf 03 -0.224  1.206  1.226 7
0192 pf 04 -0.949  0.617  1.132 8
0192 pf 05 -0.039  1.127  1.128 7
0192 pf 06 -0.501  0.158  0.525 8
0192 pf 07 -0.608  0.772  0.982 7
0192 pf 08 -1.064  0.517  1.183 8
0192 pf 09  0.015  0.083  0.084 6
0192 pf 10 -1.165  0.111  1.170 8
0216 em 00 -0.740  0.207  0.768 8
